aleo_grupa,aleo_podgrupa,pkd_primary,pkd_secondary
Artykuły dla biur i wyposażenie biurowe,Materiały i akcesoria biurowe,46.13.Z,46.83.Z|47.52.Z|46.49.Z|46.43.Z|46.15.Z
Artykuły dla biur i wyposażenie biurowe,Sprzęt biurowy,46.49.Z,47.75.Z|46.43.Z|46.15.Z|47.79.C|47.62.Z
"BHP, PPOŻ i środki czystości",Odzież i obuwie robocze i ochronne,14.21.Z,14.23.Z|14.24.Z|46.42.Z|14.10.Z|46.85.B
"Budownictwo, usługi i materiały budowlane",Budowanie instalacji,41.00.B,41.00.A|43.50.Z|43.21.Z|43.99.Z|43.24.Z
"Budownictwo, usługi i materiały budowlane",Konstrukcje metalowe,43.50.Z,41.00.A|41.00.B|43.99.Z|43.35.Z|43.41.Z
"Budownictwo, usługi i materiały budowlane",Materiały budowlane,41.00.A,41.00.B|43.50.Z|43.99.Z|43.60.Z|42.91.Z
"Budownictwo, usługi i materiały budowlane",Usługi budowlano-remontowe,41.00.B,41.00.A|43.50.Z|43.99.Z|43.42.Z|42.13.Z
Chemia,Chemia gospodarcza,20.60.Z,20.14.Z|20.13.Z|47.54.Z|46.45.Z|46.31.Z
Chemia,Chemia kosmetyczna,46.45.Z,20.42.Z|20.60.Z|20.14.Z|20.20.A|47.71.Z
Chemia,Chemia przemysłowa,46.12.Z,46.14.Z|46.11.B|20.60.Z|20.20.A|47.12.Z
Chemia,Wyroby chemiczne,20.60.Z,46.85.B|47.22.Z|20.20.C|20.42.Z|46.36.Z
Chemia,Inne,20.60.Z,46.85.A|20.13.Z|46.22.Z|47.71.Z|47.22.Z
Dom i ogród,Ogród,46.82.Z,46.85.A|47.26.Z|32.11.Z|47.72.Z|32.30.Z
Dom i ogród,Wyposażenie domu,43.34.Z,46.61.Z|43.11.Z|43.33.Z|46.71.Z|46.72.Z
Dom i ogród,Inne,32.11.Z,46.82.Z|47.71.Z|46.22.Z|46.21.A|47.22.Z
"Edukacja, sport i rozrywka",Badania naukowe,85.59.C,85.10.Z|93.19.Z|91.41.A|93.21.Z|85.61.Z
"Edukacja, sport i rozrywka",Edukacja,85.52.Z,93.21.Z|93.19.Z|96.23.Z|93.12.Z|79.12.Z
